wheel-base	length	width	height	curb-weight
88.6	168.8	64.1	48.8	2548
88.6	168.8	64.1	48.8	2548
94.5	171.2	65.5	52.4	2823
99.8	176.6	66.2	54.3	2337
99.4	176.6	66.4	54.3	2824
99.8	177.3	66.3	53.1	2507
105.8	192.7	71.4	55.7	2844
105.8	192.7	71.4	55.7	2954
105.8	192.7	71.4	55.9	3086
99.5	178.2	67.9	52	3053
101.2	176.8	64.8	54.3	2395
101.2	176.8	64.8	54.3	2395
101.2	176.8	64.8	54.3	2710
101.2	176.8	64.8	54.3	2765
103.5	189	66.9	55.7	3055
103.5	189	66.9	55.7	3230
103.5	193.8	67.9	53.7	3380
110	197	70.9	56.3	3505
88.4	141.1	60.3	53.2	1488
94.5	155.9	63.6	52	1874
94.5	158.8	63.6	52	1909
93.7	157.3	63.8	50.8	1876
93.7	157.3	63.8	50.8	1876
93.7	157.3	63.8	50.8	2128
93.7	157.3	63.8	50.6	1967
93.7	157.3	63.8	50.6	1989
93.7	157.3	63.8	50.6	1989
93.7	157.3	63.8	50.6	2191
103.3	174.6	64.6	59.8	2535
95.9	173.2	66.3	50.2	2811
86.6	144.6	63.9	50.8	1713
86.6	144.6	63.9	50.8	1819
93.7	150	64	52.6	1837
93.7	150	64	52.6	1940
93.7	150	64	52.6	1956
96.5	163.4	64	54.5	2010
96.5	157.1	63.9	58.3	2024
96.5	167.5	65.2	53.3	2236
96.5	167.5	65.2	53.3	2289
96.5	175.4	65.2	54.1	2304
96.5	175.4	62.5	54.1	2372
96.5	175.4	65.2	54.1	2465
96.5	169.1	66	51	2293
94.3	170.7	61.8	53.5	2337
94.5	155.9	63.6	52	1874
94.5	155.9	63.6	52	1909
96	172.6	65.2	51.4	2734
113	199.6	69.6	52.8	4066
113	199.6	69.6	52.8	4066
102	191.7	70.6	47.8	3950
93.1	159.1	64.2	54.1	1890
93.1	159.1	64.2	54.1	1900
93.1	159.1	64.2	54.1	1905
93.1	166.8	64.2	54.1	1945
93.1	166.8	64.2	54.1	1950
95.3	169	65.7	49.6	2380
95.3	169	65.7	49.6	2380
95.3	169	65.7	49.6	2385
95.3	169	65.7	49.6	2500
98.8	177.8	66.5	53.7	2385
98.8	177.8	66.5	55.5	2410
98.8	177.8	66.5	53.7	2385
98.8	177.8	66.5	55.5	2410
98.8	177.8	66.5	55.5	2443
98.8	177.8	66.5	55.5	2425
104.9	175	66.1	54.4	2670
104.9	175	66.1	54.4	2700
110	190.9	70.3	56.5	3515
110	190.9	70.3	58.7	3750
106.7	187.5	70.3	54.9	3495
115.6	202.6	71.7	56.3	3770
115.6	202.6	71.7	56.5	3740
96.6	180.3	70.5	50.8	3685
120.9	208.1	71.7	56.7	3900
112	199.2	72	55.4	3715
102.7	178.4	68	54.8	2910
93.7	157.3	64.4	50.8	1918
93.7	157.3	64.4	50.8	1944
93.7	157.3	64.4	50.8	2004
93	157.3	63.8	50.8	2145
96.3	173	65.4	49.4	2370
96.3	173	65.4	49.4	2328
95.9	173.2	66.3	50.2	2833
95.9	173.2	66.3	50.2	2921
95.9	173.2	66.3	50.2	2926
96.3	172.4	65.4	51.6	2365
96.3	172.4	65.4	51.6	2405
96.3	172.4	65.4	51.6	2403
96.3	172.4	65.4	51.6	2403
94.5	165.3	63.8	54.5	1889
94.5	165.3	63.8	54.5	2017
94.5	165.3	63.8	54.5	1918
94.5	165.3	63.8	54.5	1938
94.5	170.2	63.8	53.5	2024
94.5	165.3	63.8	54.5	1951
94.5	165.6	63.8	53.3	2028
94.5	165.3	63.8	54.5	1971
94.5	170.2	63.8	53.5	2037
95.1	162.4	63.8	53.3	2008
97.2	173.4	65.2	54.7	2324
97.2	173.4	65.2	54.7	2302
100.4	181.7	66.5	55.1	3095
100.4	184.6	66.5	56.1	3296
100.4	184.6	66.5	55.1	3060
91.3	170.7	67.9	49.7	3071
91.3	170.7	67.9	49.7	3139
99.2	178.5	67.9	49.7	3139
107.9	186.7	68.4	56.7	3020
107.9	186.7	68.4	56.7	3197
114.2	198.9	68.4	58.7	3230
114.2	198.9	68.4	58.7	3430
107.9	186.7	68.4	56.7	3075
107.9	186.7	68.4	56.7	3252
114.2	198.9	68.4	56.7	3285
114.2	198.9	68.4	58.7	3485
107.9	186.7	68.4	56.7	3075
107.9	186.7	68.4	56.7	3252
108	186.7	68.3	56	3130
93.7	157.3	63.8	50.8	1918
93.7	157.3	63.8	50.8	2128
93.7	157.3	63.8	50.6	1967
93.7	167.3	63.8	50.8	1989
93.7	167.3	63.8	50.8	2191
103.3	174.6	64.6	59.8	2535
95.9	173.2	66.3	50.2	2818
94.5	168.9	68.3	50.2	2778
89.5	168.9	65	51.6	2756
89.5	168.9	65	51.6	2756
89.5	168.9	65	51.6	2800
98.4	175.7	72.3	50.5	3366
96.1	181.5	66.5	55.2	2579
96.1	176.8	66.6	50.5	2460
99.1	186.6	66.5	56.1	2658
99.1	186.6	66.5	56.1	2695
99.1	186.6	66.5	56.1	2707
99.1	186.6	66.5	56.1	2758
99.1	186.6	66.5	56.1	2808
99.1	186.6	66.5	56.1	2847
93.7	156.9	63.4	53.7	2050
93.7	157.9	63.6	53.7	2120
93.3	157.3	63.8	55.7	2240
97.2	172	65.4	52.5	2145
97.2	172	65.4	52.5	2190
97.2	172	65.4	52.5	2340
97	172	65.4	54.3	2385
97	172	65.4	54.3	2510
97	173.5	65.4	53	2290
97	173.5	65.4	53	2455
96.9	173.6	65.4	54.9	2420
96.9	173.6	65.4	54.9	2650
95.7	158.7	63.6	54.5	1985
95.7	158.7	63.6	54.5	2040
95.7	158.7	63.6	54.5	2015
95.7	169.7	63.6	59.1	2280
95.7	169.7	63.6	59.1	2290
95.7	169.7	63.6	59.1	3110
95.7	166.3	64.4	53	2081
95.7	166.3	64.4	52.8	2109
95.7	166.3	64.4	53	2275
95.7	166.3	64.4	52.8	2275
95.7	166.3	64.4	53	2094
95.7	166.3	64.4	52.8	2122
95.7	166.3	64.4	52.8	2140
94.5	168.7	64	52.6	2169
94.5	168.7	64	52.6	2204
94.5	168.7	64	52.6	2265
94.5	168.7	64	52.6	2300
98.4	176.2	65.6	52	2540
98.4	176.2	65.6	52	2536
98.4	176.2	65.6	52	2551
98.4	176.2	65.6	52	2679
98.4	176.2	65.6	52	2714
98.4	176.2	65.6	53	2975
102.4	175.6	66.5	54.9	2326
102.4	175.6	66.5	54.9	2480
102.4	175.6	66.5	53.9	2414
102.4	175.6	66.5	54.9	2414
102.4	175.6	66.5	53.9	2458
102.9	183.5	67.7	52	2976
102.9	183.5	67.7	52	3016
104.5	187.8	66.5	54.1	3131
104.5	187.8	66.5	54.1	3151
97.3	171.7	65.5	55.7	2261
97.3	171.7	65.5	55.7	2209
97.3	171.7	65.5	55.7	2264
97.3	171.7	65.5	55.7	2212
97.3	171.7	65.5	55.7	2275
97.3	171.7	65.5	55.7	2319
97.3	171.7	65.5	55.7	2300
94.5	159.3	64.2	55.6	2254
94.5	165.7	64	51.4	2221
100.4	180.2	66.9	55.1	2661
100.4	180.2	66.9	55.1	2579
100.4	183.1	66.9	55.1	2563
104.3	188.8	67.2	56.2	2912
104.3	188.8	67.2	57.5	3034
104.3	188.8	67.2	56.2	2935
104.3	188.8	67.2	57.5	3042
104.3	188.8	67.2	56.2	3045
104.3	188.8	67.2	57.5	3157
109.1	188.8	68.9	55.5	2952
109.1	188.8	68.8	55.5	3049
109.1	188.8	68.9	55.5	3012
109.1	188.8	68.9	55.5	3217
109.1	188.8	68.9	55.5	3062
